,county name,pop_density,mean_PRE,sd_PRE,mean_POST,sd_POST
1968,"Rowan, North Carolina, US",270.7,0.0,0.0,0.1373265360835137,0.0939211625808158
1969,"Rutherford, North Carolina, US",120.2,0.0,0.0,0.0,0.0
1970,"Sampson, North Carolina, US",67.1,0.0,0.0,0.0,0.0
1971,"Scotland, North Carolina, US",113.4,0.0,0.0,0.0,0.0
1972,"Stanly, North Carolina, US",153.3,0.0,0.0,0.0,0.0
1973,"Stokes, North Carolina, US",105.6,0.0,0.0,0.0,0.0
1974,"Surry, North Carolina, US",138.4,0.0,0.0,0.0,0.0
1975,"Swain, North Carolina, US",26.5,0.0,0.0,0.0,0.0
1976,"Transylvania, North Carolina, US",87.4,0.0,0.0,0.0,0.0
1977,"Tyrrell, North Carolina, US",11.3,0.0,0.0,0.0,0.0
1978,"Union, North Carolina, US",318.7,0.0,0.0,0.0,0.0
1979,"Vance, North Carolina, US",179.2,0.0,0.0,0.0,0.0
1980,"Wake, North Carolina, US",1078.8,0.0,0.0,0.0,0.0
1981,"Warren, North Carolina, US",48.9,0.0,0.0,0.0,0.0
1982,"Washington, North Carolina, US",38.0,0.0,0.0,0.23104906018664845,0.23104906018664845
1983,"Watauga, North Carolina, US",163.4,0.0,0.0,0.0,0.0
1984,"Wayne, North Carolina, US",221.7,0.0,0.0,0.0,0.0
1985,"Wilkes, North Carolina, US",91.9,0.0,0.0,0.0,0.0
1986,"Wilson, North Carolina, US",220.6,0.0,,0.1373265360835137,0.09392116258081579
1987,"Yadkin, North Carolina, US",114.7,0.0,0.0,0.0,0.0
1988,"Yancey, North Carolina, US",57.0,0.0,0.0,0.0,0.0
